Country;TB;Ind_Pledge;Partners_Pledge;Ind_Plan;Plans
Afghanistan;42200000;31770921;"EHRA; IRGP";1444320;"IRGP; GRP"
Albania;2800000;206863;Climate-KIC;0;
Algeria;45600000;3741148;"EfoA; IRGP";1572280;"IRGP; EfoA; GRP"
Andorra;79000;5836;Climate-KIC;0;
Angola;36700000;3010968;"EfoA; IRGP";126878;"RF; EfoA; GRP"
Antigua and Barbuda;100000;18172;"S4R; IRGP; GMA; CCRI";13633;"IRGP; Climakers"
Argentina;45800000;14515990;"I20x20; IRGP";6249305;"IRGP; RF; Climakers"
Armenia;2800000;225439;IRGP;87523;"IRGP; "
Australia;26400000;20827147;"EHRA; GEGA; GMA; WRC; CitiesR2R; CCRI";10383248;"CitiesR2R; EHRA; RF; Climakers; WRC; RegionsAdapt"
Austria;900000;66492;Climate-KIC;97725;"RF; Climakers"
Iran, Islamic Republic of;89200000;0;;0;
Bahamas;400000;73524;"CRH; IRGP; ORRAA; GMA";12503;"IRGP; "
Saudi Arabia;36900000;0;;0;
Bangladesh;173000000;38913686;"EfoA; IRGP; WRC; CCRI";9718122;"IRGP; WRC; GRP"
Barbados;300000;60648;"S4R; IRGP; ORRAA";9632;"IRGP; SWA"
Belarus;9500000;701857;Climate-KIC;0;
Belgium;11700000;864392;Climate-KIC;1270428;"RF; Climakers"
Belize;400000;152364;"I20x20; IRGP; ORRAA";54533;"IRGP; Climakers"
Benin;13700000;1660229;"S4R; EfoA; IRGP";1917445;"IRGP; Climakers; EfoA; GRP; SWA"
Bhutan;800000;64411;IRGP;88957;"Climakers; GRP"
Bolivia, Plurinational State of;12400000;5065735;"S4R; I20x20; EfoA; IRGP; WRC";670878;"IRGP; WRC; SWA"
Bosnia and Herzegovina;3200000;236415;Climate-KIC;100026;"IRGP; "
Botswana;2700000;217388;IRGP;300231;"Climakers; GRP"
Brazil;216400000;91831260;"I20x20; IRGP; GEGA; GMA; WRC; CitiesR2R";79272398;"CitiesR2R; IRGP; RF; Climakers; WRC; BFA; RegionsAdapt"
Kazakhstan;19600000;0;;670821;"IRGP; GRP"
Bulgaria;6700000;494994;Climate-KIC;0;
Burkina Faso;23300000;2823602;"S4R; EfoA; IRGP";3761328;"IRGP; Climakers; EfoA; GRP; RegionsAdapt; SWA"
Burundi;13200000;1432270;"EfoA; IRGP; GRP; GEGA";3992583;"Climakers; BFA; EfoA; GRP"
Cambodia;16900000;3234855;"EfoA; IRGP; GEGA; ORRAA; GMA";2352578;"IRGP; Climakers; EfoA; GRP"
Cameroon;28600000;2346422;"EfoA; IRGP";1510724;"CitiesR2R; IRGP; EfoA; GRP"
Canada;38800000;26100777;"USDN; ICSI; Climakers; CitiesR2R; CCRI";10258299;"CitiesR2R; RF; Climakers; USDN; ICSI; RegionsAdapt"
Cape Verde;600000;99974;"IRGP; ORRAA";20612;"IRGP; RF; GRP"
Central African Republic;5700000;458930;IRGP;792181;"IRGP; Climakers; GRP"
Chad;18300000;1473406;IRGP;587546;"IRGP; SWA"
Chile;19600000;16484953;"I20x20; EfoA; EHRA; IRGP; WRC; CitiesR2R";9197229;"CitiesR2R; EHRA; IRGP; RF; WRC; BFA"
China;1425700000;531959731;"EfoA; IRGP; ICSI; WRC";154384360;"RF; WRC; EfoA; ICSI"
Colombia;52100000;26590751;"S4R; I20x20; EfoA; CRH; IRGP; GEGA; ORRAA; GMA; WRC; CitiesR2R";15368576;"CitiesR2R; IRGP; RF; WRC; BFA; CRH; RegionsAdapt; SWA"
Comoros;900000;163550;"CRH; IRGP; ORRAA";200748;"BFA; CRH; GRP"
Congo;6100000;500461;"EfoA; IRGP";678300;"Climakers; GRP"
Congo, the Democratic Republic of the;102300000;12397188;"S4R; EfoA; IRGP";15913681;"CitiesR2R; IRGP; Climakers; EfoA; GRP"
Costa Rica;5200000;2209679;"S4R; I20x20; EfoA; IRGP; GEGA; ORRAA; GMA";167618;"IRGP; RF; SWA"
Côte d'Ivoire;28900000;3502236;"S4R; EfoA; IRGP";4510599;"CitiesR2R; IRGP; Climakers; GRP; SWA"
Croatia;4000000;295519;Climate-KIC;433864;Climakers
Cuba;11200000;901757;IRGP;359591;"IRGP; SWA"
Tajikistan;10100000;0;;345678;"IRGP; GRP"
Czech Republic;10500000;775737;Climate-KIC;0;
Denmark;5900000;435890;Climate-KIC;639949;Climakers
Djibouti;1100000;90247;"EfoA; IRGP";332513;"Climakers; BFA; GRP"
Dominica;100000;18381;"CRH; IRGP; ORRAA; GMA";3910;"IRGP; CRH; SWA"
Dominican Republic;11300000;5288689;"S4R; I20x20; DARAJA; IRGP; ORRAA; GMA";1284067;"IRGP; CRH; DARAJA; SWA"
Ecuador;18200000;6652449;"S4R; I20x20; EfoA; IRGP; GEGA; GMA";1148209;"IRGP; CRH; RegionsAdapt; SWA"
Egypt;112700000;33967003;"DARAJA; IRGP; WRC; CCRI";13101769;"RF; WRC; BFA; DARAJA; GRP"
El Salvador;6400000;2714923;"S4R; I20x20; IRGP; GEGA; GMA; WRC";346260;"IRGP; WRC; SWA"
Equatorial Guinea;1700000;139473;"EfoA; IRGP";5207;GRP
Turkmenistan;6500000;0;;19910;GRP
Estonia;1300000;96044;Climate-KIC;0;
Ethiopia;126500000;34559557;"EfoA; DARAJA; IRGP; GRP; GEGA; WRC";49510275;"IRGP; Climakers; WRC; BFA; DARAJA; EfoA; GRP; SWA"
Finland;5500000;406338;Climate-KIC;596562;Climakers
France;64800000;7361540;"CitiesR2R; Climate-KIC";9548275;"CitiesR2R; RF; Climakers; RegionsAdapt"
Gabon;2400000;193234;IRGP;7351;GRP
Gambia;2800000;232006;"IRGP; GMA";389776;"IRGP; Climakers; EfoA; GRP"
Georgia;3700000;297902;IRGP;504435;"IRGP; Climakers"
Germany;83300000;6154179;Climate-KIC;9045014;"RF; Climakers"
Ghana;34100000;12579399;"S4R; EfoA; DARAJA; IRGP; GEGA; ORRAA; GMA; WRC";13689047;"IRGP; Climakers; WRC; BFA; DARAJA; EfoA; GRP; SWA"
Greece;10300000;7736148;"EHRA; Climate-KIC";2800700;"EHRA; "
Grenada;100000;16875;"IRGP; ORRAA; GMA";3211;"IRGP; SWA"
Guatemala;18100000;7691382;"S4R; I20x20; EfoA; IRGP; GEGA; ORRAA; GMA";581125;"IRGP; SWA"
Guinea;14200000;1198257;"EfoA; IRGP; GMA";1976723;"IRGP; Climakers; EfoA; GRP"
Guinea-Bissau;2200000;182291;"IRGP; GMA";75296;"IRGP; GRP"
Guyana;800000;136105;"EfoA; IRGP; ORRAA; GMA";25007;"IRGP; "
Haiti;11700000;3099260;"EfoA; DARAJA; CRH; IRGP; ORRAA";2446262;"IRGP; Climakers; CRH; DARAJA"
Honduras;10600000;5214180;"S4R; I20x20; EfoA; DARAJA; CRH; IRGP; GEGA; ORRAA; GMA";1204523;"IRGP; CRH; DARAJA; SWA"
Hungary;10200000;753573;Climate-KIC;1106352;Climakers
Iceland;400000;45442;"CitiesR2R; Climate-KIC";7599;"CitiesR2R; "
India;1428600000;530191474;"EfoA; DARAJA; IRGP; GRP; GEGA; ORRAA; GMA; WRC; CitiesR2R";575651310;"CitiesR2R; IRGP; Climakers; WRC; BFA; DARAJA; EfoA; GRP; SWA"
Indonesia;277500000;77893083;"EfoA; CRH; IRGP; GEGA; ORRAA; GMA; WRC";17549114;"IRGP; WRC; CRH; EfoA; GRP"
Oman;4600000;0;;0;
Iraq;45500000;4624734;"EfoA; DARAJA";11978;EfoA
Ireland;5100000;376786;Climate-KIC;553176;Climakers
Israel;9200000;6727273;EHRA;0;
Italy;58900000;9479384;"WRC; Climate-KIC";8863186;"Climakers; WRC; RegionsAdapt"
Jamaica;2800000;732999;"S4R; DARAJA; IRGP; CCRI";571266;"IRGP; Climakers; DARAJA; SWA"
Bahrain;1500000;0;;0;
Jordan;11300000;1886545;"IRGP; WRC";1762367;"IRGP; Climakers; WRC"
Western Sahara;600000;0;;0;
Kenya;55100000;18803589;"EfoA; DARAJA; IRGP; GRP; GEGA; ORRAA; WRC";22737292;"CitiesR2R; IRGP; Climakers; WRC; BFA; DARAJA; GRP; SWA"
Korea, Republic of;51700000;4860096;WRC;6655196;"Climakers; WRC"
Azerbaijan;10400000;0;;0;
Brunei Darussalam;500000;0;;0;
Lao People's Democratic Republic;7600000;1431175;"IRGP; GEGA; WRC";260114;"IRGP; GRP"
Latvia;1800000;132983;Climate-KIC;0;
Lebanon;5400000;756950;"EfoA; DARAJA; CitiesR2R";103982;"CitiesR2R; EfoA"
Lesotho;2300000;185182;IRGP;319652;"IRGP; Climakers; GRP"
Liberia;5400000;455675;"EfoA; IRGP; GMA";751711;"IRGP; Climakers; EfoA; GRP"
Cyprus;1300000;0;;141006;Climakers
Liechtenstein;39000;2881;Climate-KIC;0;
Lithuania;2700000;199475;Climate-KIC;0;
Luxembourg;700000;51716;Climate-KIC;75926;Climakers
Macedonia, the former Yugoslav Republic of;2000000;296891;"IRGP; Climate-KIC";62516;"IRGP; "
Madagascar;30300000;8490159;"S4R; EfoA; IRGP; ORRAA; GMA; WRC";4429053;"IRGP; Climakers; CRH; EfoA; GRP; SWA"
Malawi;20900000;2206654;"EfoA; IRGP; GEGA";3039386;"IRGP; Climakers; CRH; EfoA; GRP"
Malaysia;34300000;3355200;"EfoA; GMA; WRC";4514726;"Climakers; WRC; EfoA; GRP"
Mali;23300000;1911595;"EfoA; IRGP";3255778;"IRGP; Climakers; GRP; SWA"
Malta;500000;36940;Climate-KIC;0;
Mauritania;4900000;852467;"EfoA; DARAJA; IRGP";167705;"IRGP; GRP"
Mauritius;1300000;106656;"EfoA; IRGP";180673;"IRGP; Climakers; GRP"
Mexico;128500000;112307894;"S4R; I20x20; EfoA; DARAJA; EHRA; IRGP; GEGA; ORRAA; GMA; WRC";66477222;"EHRA; IRGP; RF; WRC; BFA; CRH; DARAJA; RegionsAdapt; SWA"
Micronesia, Federated States of;100000;8286;"IRGP; GMA";306;GRP
Moldova, Republic of;2600000;192087;Climate-KIC;0;
Mongolia;3400000;273748;IRGP;116367;"IRGP; GRP"
Montenegro;600000;89067;"IRGP; Climate-KIC";18755;"IRGP; "
Morocco;37800000;9464281;"DARAJA; IRGP; WRC";2743388;"IRGP; WRC; BFA; GRP; SWA"
Mozambique;33900000;8873852;"EfoA; CRH; IRGP; ORRAA; GMA; WRC";6129823;"CitiesR2R; IRGP; RF; Climakers; WRC; CRH; EfoA; GRP"
Myanmar;54600000;4479532;"EfoA; IRGP";1882599;"IRGP; EfoA; GRP"
Namibia;2600000;4323;"EfoA; ";333610;"CitiesR2R; Climakers; EfoA; GRP"
Nepal;30900000;9906937;"EfoA; CRH; IRGP; ICSI";6789641;"IRGP; Climakers; CRH; GRP; ICSI"
Netherlands;17600000;1300283;Climate-KIC;2399472;"IRGP; Climakers"
Eritrea;3700000;0;;1118454;"Climakers; BFA; GRP"
Nicaragua;7000000;2777504;"I20x20; IRGP; GEGA; ORRAA";218808;"IRGP; "
Niger;27200000;2231562;"EfoA; IRGP";3806897;"IRGP; Climakers; EfoA; GRP; SWA"
Nigeria;223800000;67965331;"S4R; EfoA; DARAJA; IRGP; GEGA; GMA; WRC";40740910;"CitiesR2R; IRGP; RF; WRC; BFA; DARAJA; EfoA; GRP; RegionsAdapt; SWA"
Japan;123300000;0;;13373843;Climakers
Norway;5500000;406338;Climate-KIC;596562;Climakers
Kuwait;4300000;0;;0;
Pakistan;240500000;60974715;"EfoA; DARAJA; IRGP; GMA; WRC";31172073;"IRGP; WRC; DARAJA; EfoA; GRP"
Kyrgyzstan;6700000;0;;229311;"IRGP; GRP"
Panama;4500000;1840740;"S4R; I20x20; IRGP; GMA; WRC";239734;"IRGP; WRC"
Papua New Guinea;10300000;1730495;"EfoA; IRGP; ORRAA";321960;"IRGP; "
Paraguay;6900000;2387874;"S4R; I20x20; IRGP";940702;"IRGP; Climakers"
Peru;34400000;21470134;"S4R; I20x20; EfoA; IRGP; GEGA; ORRAA; ICSI; GMA; WRC; CitiesR2R";8422880;"CitiesR2R; IRGP; Climakers; WRC; ICSI; SWA"
Philippines;117300000;56429588;"EfoA; CRH; IRGP; GEGA; ORRAA; ICSI; GMA; WRC; CitiesR2R";18878167;"CitiesR2R; IRGP; WRC; CRH; GRP; ICSI"
Poland;41000000;3029068;Climate-KIC;4447101;Climakers
Portugal;10200000;753573;Climate-KIC;1347;"RF; "
Puerto Rico;3300000;8418;GMA;0;
Libyan Arab Jamahiriya;6900000;0;;0;
Romania;19900000;1470206;Climate-KIC;0;
Russian Federation;144400000;10668228;Climate-KIC;15662473;Climakers
Rwanda;14100000;5029144;"S4R; EfoA; IRGP; GRP; GEGA; ICSI";5554096;"IRGP; Climakers; BFA; EfoA; GRP; ICSI; SWA"
Saint Vincent and the Grenadines;100000;8051;IRGP;3211;"IRGP; SWA"
Samoa;200000;33750;"IRGP; ORRAA; GMA";6845;"IRGP; GRP"
New Zealand;5200000;0;;564635;"RF; Climakers"
North Korea;25900000;0;;0;
Senegal;17800000;4119608;"S4R; EfoA; DARAJA; IRGP; GEGA; GMA";2873461;"IRGP; Climakers; EfoA; GRP; RegionsAdapt; SWA"
Serbia;7100000;1053962;"IRGP; Climate-KIC";221933;"IRGP; "
Sierra Leone;8800000;6851250;"EfoA; DARAJA; EHRA; IRGP; GMA";3284746;"EHRA; IRGP; Climakers; EfoA; GRP"
Palestinian Territory, Occupied;4900000;0;;15009;GRP
Slovakia;5800000;428502;Climate-KIC;0;
Slovenia;2100000;155147;Climate-KIC;0;
Solomon Islands;700000;118125;"IRGP; ORRAA; GMA";23958;"IRGP; GRP"
Somalia;18100000;1527356;"EfoA; IRGP; GMA";3938656;"BFA; EfoA; GRP"
Somaliland;3500000;861827;ICSI;305162;ICSI
South Africa;60400000;12154808;"EfoA; GEGA; ORRAA; WRC";11682842;"IRGP; RF; Climakers; WRC; BFA; EfoA; GRP; RegionsAdapt"
South Sudan;11100000;910674;"EfoA; IRGP";3957974;"Climakers; BFA; DARAJA; EfoA; GRP"
Spain;47500000;36787894;"EHRA; WRC; Climate-KIC";18123901;"EHRA; RF; Climakers; WRC; RegionsAdapt"
Sri Lanka;21900000;3725881;"EfoA; IRGP; ORRAA; GMA";684555;"IRGP; "
Sudan;48100000;10975935;"S4R; DARAJA; IRGP; GEGA";9940862;"IRGP; Climakers; DARAJA; EfoA; GRP; SWA"
Suriname;600000;49716;"IRGP; GMA";18755;"IRGP; "
Swaziland;1100000;28207;GEGA;37648;"IRGP; GRP"
Sweden;10600000;783125;Climate-KIC;1149738;Climakers
Switzerland;8800000;650141;Climate-KIC;954500;Climakers
Qatar;2700000;0;;357;"RF; "
Sao Tome and Principe;200000;0;;613;GRP
Singapore;6000000;0;;792;"RF; "
Tanzania, United Republic of;53000000;18175995;"EfoA; DARAJA; IRGP; GRP; GEGA; ORRAA; GMA; WRC";11873104;"IRGP; Climakers; WRC; DARAJA; EfoA; GRP"
Thailand;71800000;19113410;"IRGP; GEGA; ORRAA; GMA; WRC";4033302;"IRGP; WRC; GRP"
Timor-Leste;1400000;163647;"GEGA; ORRAA";4288;GRP
Togo;9100000;767897;"EfoA; IRGP; GMA";1413563;"CitiesR2R; IRGP; Climakers; GRP"
Tonga;100000;16662;"IRGP; ORRAA";3423;"IRGP; GRP"
Trinidad and Tobago;1500000;124289;"IRGP; GMA";48160;"IRGP; SWA"
Tunisia;12500000;2157465;"DARAJA; IRGP";1389959;"Climakers; GRP"
Turkey;85800000;3680241;CitiesR2R;2505102;"CitiesR2R; RF; CRH; GRP"
Syrian Arab Republic;23200000;0;;0;
Uganda;48600000;13277427;"EfoA; DARAJA; IRGP; GRP; GEGA; WRC";18741959;"IRGP; Climakers; BFA; DARAJA; EfoA; SWA"
Ukraine;36700000;2711385;Climate-KIC;0;
Taiwan;23500000;0;;0;
United Kingdom;67700000;25633951;"ICSI; Climakers; CitiesR2R; CCRI; Climate-KIC";15008537;"CitiesR2R; RF; Climakers; ICSI; RegionsAdapt"
United States;340000000;312971065;"EHRA; USDN; ICSI; Climakers; GMA; WRC; CitiesR2R; CCRI";151708722;"CitiesR2R; EHRA; RF; Climakers; WRC; ICSI; RegionsAdapt"
Uruguay;3400000;1295925;"I20x20; IRGP; WRC";181132;"IRGP; WRC"
Uzbekistan;35200000;2834092;IRGP;1204741;"IRGP; GRP"
Vanuatu;300000;24613;"EfoA; IRGP";10268;"IRGP; GRP"
United Arab Emirates;9500000;0;;1254;"RF; "
Viet Nam;98900000;7962832;IRGP;15680300;"IRGP; Climakers; WRC; GRP"
Venezuela, Bolivarian Republic of;28800000;0;;0;
Yemen;34400000;57194;"EfoA; ";9056;EfoA
Zambia;20600000;2496403;"S4R; EfoA; IRGP";3599850;"CitiesR2R; IRGP; Climakers; WRC; EfoA; GRP"
Zimbabwe;16700000;1370113;"EfoA; IRGP";2597834;"CitiesR2R; IRGP; Climakers; EfoA; GRP"
